ID;Label
1020;Love and Kisses
1021;Mission: Impossible II
1022;Lake Placid
1023;Schindler's List
1024;The Hole
1025;Stand by Me
1026;Joan of Arc
1027;Lagaan: Once Upon a Time in India
1028;Munna Bhai M.B.B.S.
1029;Casablanca
1030;Contraband
1031;Hackers
1032;Presumed Innocent
1033;Speed
1034;The Taking of Pelham One Two Three
1035;The Lion King 1Â½
1036;Weekend at Bernie's
1037;Weekend at Bernie's II
1038;Child's Play 2
1039;Pretty Baby
1040;Dilwale Dulhaniy Le Jayenge
1041;Anna
1042;Thursday
1043;Persona
1044;Scenes from a Marriage
1045;When a Man Loves a Woman
1046;10.5
1047;Limelight
1048;The Haunting
1049;Cheaper by the Dozen
1050;Me, Myself & Irene
1051;Shall We Dance?
1052;Don't Tell Mom the Babysitter's Dead
1053;The Trip
1054;Easy Rider
1055;Ticker
1056;Out of the Blue
1057;Dinosaur
1058;Ray
1059;Breakfast at Tiffany's
1060;Zhou Yu's Train
1061;America's Sweethearts
1062;Can't Hardly Wait
1063;Python
1064;Panic Room
1065;The French Connection
1066;F.I.S.T
1067;Runaway Train
1068;The Crow: Salvation
1069;Hustle
1070;Paparazzi
1071;First Daughter
1072;Amerika
1073;Madhouse
1074;Starship Troopers
1075;One, Two, Three
1076;Bob & Carol & Ted & Alice
1077;Shogun
1078;Naked Lunch
1079;Arachnophobia
1080;Reign: The Conqueror
1081;The Adventures of Priscilla, Queen of the Desert
1082;Muriel's Wedding
1083;Gallipoli
1084;The Hand That Rocks the Cradle
1085;Holy Smoke!
1086;Batman: Mystery of the Batwoman
1087;Conspiracy
1088;Doom
1089;Levity
1090;Titus
1091;Country
1092;Normal
1093;Seventh Heaven
1094;Sunrise
1095;Modern Times
1096;The Circus
1097;Tillie's Punctured Romance
1098;Women in Love
1099;Wimbledon
1100;Committed
1101;Elektra
1102;Boys' Night Out
1103;Twilight
1104;Grand Prix
1105;Murphy's Romance
1106;Blue Desert
1107;Rollerball
1108;Monsignor
1109;Dead Ringers
1110;The Adventures of Pinocchio
1111;Ace Ventura: When Nature Calls
1112;Tape
1113;Kill Bill
1114;The Truth About Cats & Dogs
1115;S.W.A.T.
1116;Taking Lives
1117;Pinocchio
1118;Amistad
1119;Serenity
1120;The Others
1121;True Stories
1122;Oliver's Story
1123;Slap Shot
1124;Henry: Portrait Of A Serial Killer
1125;54
1126;The Gambler
1127;Layer Cake
1128;Babes in Toyland
